T23,"Production, trade and supply of energy",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
392,Japan,2000,Changes in stocks (petajoules),165,Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2005,Changes in stocks (petajoules),101,Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2010,Changes in stocks (petajoules),-11,Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2015,Changes in stocks (petajoules),-65,Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2018,Changes in stocks (petajoules),70,Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2019,Changes in stocks (petajoules),-22,Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2020,Changes in stocks (petajoules),-175,Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,1995,Total supply (petajoules),"20,722",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2000,Total supply (petajoules),"21,682",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2005,Total supply (petajoules),"21,867",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2010,Total supply (petajoules),"21,015",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2015,Total supply (petajoules),"18,143",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2018,Total supply (petajoules),"17,928",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2019,Total supply (petajoules),"17,481",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2020,Total supply (petajoules),"16,145",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,1995,Supply per capita (gigajoules),165,Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2000,Supply per capita (gigajoules),171,Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2005,Supply per capita (gigajoules),171,Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2010,Supply per capita (gigajoules),164,Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2015,Supply per capita (gigajoules),143,Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2018,Supply per capita (gigajoules),142,Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2019,Supply per capita (gigajoules),139,Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2020,Supply per capita (gigajoules),129,Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2005,Primary energy production (petajoules),0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2010,Primary energy production (petajoules),0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2015,Primary energy production (petajoules),1,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2018,Primary energy production (petajoules),1,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2019,Primary energy production (petajoules),1,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2020,Primary energy production (petajoules),1,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,1995,Net imports [Imports - Exports - Bunkers] (petajoules),1,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2000,Net imports [Imports - Exports - Bunkers] (petajoules),1,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2005,Net imports [Imports - Exports - Bunkers] (petajoules),2,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2010,Net imports [Imports - Exports - Bunkers] (petajoules),2,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2015,Net imports [Imports - Exports - Bunkers] (petajoules),2,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2018,Net imports [Imports - Exports - Bunkers] (petajoules),2,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2019,Net imports [Imports - Exports - Bunkers] (petajoules),2,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2020,Net imports [Imports - Exports - Bunkers] (petajoules),2,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,1995,Total supply (petajoules),1,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2000,Total supply (petajoules),1,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2005,Total supply (petajoules),3,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2010,Total supply (petajoules),3,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2015,Total supply (petajoules),3,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2018,Total supply (petajoules),3,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2019,Total supply (petajoules),3,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2020,Total supply (petajoules),3,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,1995,Supply per capita (gigajoules),9,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2000,Supply per capita (gigajoules),17,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2005,Supply per capita (gigajoules),28,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2010,Supply per capita (gigajoules),28,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2015,Supply per capita (gigajoules),30,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2018,Supply per capita (gigajoules),29,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2019,Supply per capita (gigajoules),28,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
832,Jersey,2020,Supply per capita (gigajoules),27,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
400,Jordan,1995,Primary energy production (petajoules),12,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
400,Jordan,2000,Primary energy production (petajoules),13,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
400,Jordan,2005,Primary energy production (petajoules),13,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
400,Jordan,2010,Primary energy production (petajoules),14,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
400,Jordan,2015,Primary energy production (petajoules),14,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
400,Jordan,2018,Primary energy production (petajoules),23,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
400,Jordan,2019,Primary energy production (petajoules),26,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
400,Jordan,2020,Primary energy production (petajoules),33,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
400,Jordan,1995,Net imports [Imports - Exports - Bunkers] (petajoules),160,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
400,Jordan,2000,Net imports [Imports - Exports - Bunkers] (petajoules),190,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
400,Jordan,2005,Net imports [Imports - Exports - Bunkers] (petajoules),285,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
400,Jordan,2010,Net imports [Imports - Exports - Bunkers] (petajoules),300,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
400,Jordan,2015,Net imports [Imports - Exports - Bunkers] (petajoules),359,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
400,Jordan,2018,Net imports [Imports - Exports - Bunkers] (petajoules),365,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
400,Jordan,2019,Net imports [Imports - Exports - Bunkers] (petajoules),369,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
